City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Rikitea,PF,2021-10-23 00:40:09,-23.1203,-134.9692,74.1,82,11,20.78
91,Qixingtai,CN,2021-10-23 00:40:09,30.4135,111.8874,57.79,56,8,3.22
92,Touros,BR,2021-10-23 00:40:10,-5.1989,-35.4608,81.5,80,34,10.42
93,Upernavik,GL,2021-10-23 00:40:10,72.7868,-56.1549,21.18,77,100,5.79
94,San Patricio,US,2021-10-23 00:40:11,28.017,-97.5169,80.69,75,94,10.63
95,Jamestown,US,2021-10-23 00:38:11,42.097,-79.2353,46.29,81,75,3.44
96,Ushuaia,AR,2021-10-23 00:37:08,-54.8,-68.3,42.46,70,20,8.05
97,Hurghada,EG,2021-10-23 00:40:11,27.2574,33.8129,70.99,61,1,17.63
98,Tuktoyaktuk,CA,2021-10-23 00:40:12,69.4541,-133.0374,33.8,93,75,12.66
99,Natal,BR,2021-10-23 00:40:12,-5.795,-35.2094,81.25,83,40,9.22
100,Barrow,US,2021-10-23 00:40:13,71.2906,-156.7887,30.22,86,90,5.75
101,Kruisfontein,ZA,2021-10-23 00:40:13,-34.0033,24.7314,59.07,68,99,7.54
102,Siyabuswa,ZA,2021-10-23 00:40:14,-25.1132,29.0445,65.23,41,0,1.57
103,Pevek,RU,2021-10-23 00:40:14,69.7008,170.3133,12.85,90,100,6.76
104,Sao Filipe,CV,2021-10-23 00:40:15,14.8961,-24.4956,80.71,65,0,4.99
105,Rocha,UY,2021-10-23 00:40:15,-34.4833,-54.3333,58.26,84,100,4.47
106,Severo-Kurilsk,RU,2021-10-23 00:40:15,50.6789,156.125,41.86,69,53,10.63
107,Kovvur,IN,2021-10-23 00:40:16,17.0167,81.7333,79.05,94,20,4.61
108,Beinamar,TD,2021-10-23 00:40:16,8.6698,15.3813,71.64,91,25,1.66
109,Southbridge,US,2021-10-23 00:40:14,42.0751,-72.0334,61.05,75,100,6.38
110,Chapais,CA,2021-10-23 00:40:17,49.7834,-74.8492,29.98,80,100,3.38
111,Neropolis,BR,2021-10-23 00:40:17,-16.4064,-49.2186,77.88,64,29,3.49
112,Olafsvik,IS,2021-10-23 00:40:18,64.8945,-23.7142,44.83,95,100,8.66
113,Nikolskoye,RU,2021-10-23 00:40:18,59.7035,30.7861,45.88,74,100,12.84
114,Vila Franca Do Campo,PT,2021-10-23 00:40:19,37.7167,-25.4333,70.21,84,93,6.31
115,Da Nang,VN,2021-10-23 00:35:31,16.0678,108.2208,73.38,94,75,8.05
116,Zhangye,CN,2021-10-23 00:40:19,38.9342,100.4517,47.14,36,48,2.91
117,Isla Mujeres,MX,2021-10-23 00:40:20,21.2311,-86.731,80.17,78,94,11.54
118,Nybro,SE,2021-10-23 00:38:54,56.7446,15.9071,42.04,80,99,9.6
119,Sinnamary,GF,2021-10-23 00:40:21,5.3833,-52.95,77.81,89,82,11.12
120,Bubaque,GW,2021-10-23 00:40:21,11.2833,-15.8333,83.14,76,76,11.81
121,Trat,TH,2021-10-23 00:40:22,12.5,102.5,80.98,94,100,4.97
122,Hilo,US,2021-10-23 00:39:01,19.7297,-155.09,83.28,73,75,10.36
123,Mar Del Plata,AR,2021-10-23 00:36:13,-38.0023,-57.5575,56.08,86,90,5.01
124,Guerrero Negro,MX,2021-10-23 00:35:31,27.9769,-114.0611,67.66,79,0,16.98
125,Cape Town,ZA,2021-10-23 00:39:28,-33.9258,18.4232,58.08,85,75,5.01
126,Faanui,PF,2021-10-23 00:40:23,-16.4833,-151.75,78.39,84,65,22.28
127,Acapulco,MX,2021-10-23 00:40:23,16.8634,-99.8901,78.62,89,90,10.36
128,Kiunga,PG,2021-10-23 00:40:24,-6.1219,141.2906,87.22,60,86,3.36
129,Avon Park,US,2021-10-23 00:40:24,27.5959,-81.5062,80.02,88,47,6.67
