City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Bandarbeyla,SO,9.4942,50.8122,80.89,66,48,6.69,scattered clouds
152,Basoko,CD,1.2391,23.616,75.38,76,76,2.24,broken clouds
153,San Patricio,US,28.017,-97.5169,80.46,83,94,7.49,overcast clouds
154,Imbituba,BR,-28.24,-48.6703,67.89,92,3,11.72,clear sky
155,Letterkenny,IE,54.95,-7.7333,51.69,88,98,13.38,overcast clouds
156,Leningradskiy,RU,69.3833,178.4167,2.03,87,56,8.7,broken clouds
157,Antalaha,MG,-14.9003,50.2788,81.68,68,55,4.36,broken clouds
158,Opuwo,NA,-18.0607,13.84,66.58,21,7,3.74,clear sky
159,Benguela,AO,-12.5763,13.4055,74.98,75,73,6.87,broken clouds
160,Tasiilaq,GL,65.6145,-37.6368,30.36,95,100,8.86,snow
161,Thompson,CA,55.7435,-97.8558,29.88,92,86,2.39,overcast clouds
162,Dorgos,RO,46.05,21.8333,48.25,77,93,4.25,overcast clouds
163,Lompoc,US,34.6391,-120.4579,61.12,88,90,8.05,overcast clouds
164,Bonito,BR,-21.1211,-56.4819,73.74,53,24,3.76,few clouds
165,Banda Aceh,ID,5.5577,95.3222,83.62,73,77,5.61,broken clouds
166,Rovaniemi,FI,66.5,25.7167,20.61,93,0,11.5,clear sky
167,Gander,CA,48.9682,-54.5906,48.33,100,90,18.01,overcast clouds
168,Lazaro Cardenas,MX,17.9583,-102.2,77.29,88,100,2.15,overcast clouds
169,Juba,SS,4.8517,31.5825,78.64,72,36,3.74,scattered clouds
170,Armilla,ES,37.141,-3.6185,56.14,84,20,0.0,few clouds
171,Valparaiso,CL,-33.0393,-71.6273,49.64,76,0,3.44,clear sky
172,Ipixuna,BR,-1.7625,-48.8043,76.95,94,92,2.71,overcast clouds
173,Soller,ES,39.7662,2.7152,64.02,67,100,3.0,overcast clouds
174,Pevek,RU,69.7008,170.3133,12.16,93,100,6.11,overcast clouds
175,Ifanadiana,MG,-21.3,47.6333,74.61,70,100,2.15,overcast clouds
176,Kriel,ZA,-26.2739,29.2253,70.77,17,0,7.14,clear sky
177,Longyearbyen,SJ,78.2186,15.6401,19.24,86,40,2.3,scattered clouds
178,Koumac,NC,-20.5667,164.2833,75.72,77,5,15.12,clear sky
179,Dauphin,CA,51.1494,-100.0502,37.54,100,90,4.61,overcast clouds
180,Mahon,ES,39.8885,4.2658,63.16,59,20,18.41,few clouds
181,Carnduff,CA,49.1667,-101.8009,32.38,84,3,10.63,clear sky
182,Mansa,IN,29.9833,75.3833,87.13,31,0,12.37,clear sky
183,Nevel,RU,56.0209,29.9284,38.73,89,85,10.67,overcast clouds
184,Cairns,AU,-16.9167,145.7667,93.94,70,75,8.05,broken clouds
185,Te Anau,NZ,-45.4167,167.7167,62.13,62,99,1.21,overcast clouds
186,Derazhnya,UA,49.2692,27.4338,46.56,60,91,13.47,overcast clouds
187,Souillac,MU,-20.5167,57.5167,79.36,69,50,12.8,scattered clouds
188,Beringovskiy,RU,63.05,179.3167,14.47,79,100,12.77,overcast clouds
189,Djibo,BF,14.1022,-1.6306,82.6,51,24,4.74,few clouds
190,Asfi,MA,32.2994,-9.2372,60.08,80,0,11.63,clear sky
191,College,US,64.8569,-147.8028,31.59,86,40,3.44,scattered clouds
192,Moron,AR,-34.6534,-58.6198,60.55,96,100,4.0,moderate rain
193,Paka,MY,4.6374,103.4368,85.03,70,80,5.06,broken clouds
194,Maskinonge,CA,46.2286,-73.0192,41.81,75,92,4.92,overcast clouds
195,Iratosu,RO,46.3167,21.2,48.85,73,0,5.75,clear sky
196,Burghausen,DE,48.1667,12.8333,46.17,97,47,5.39,scattered clouds
197,Hay River,CA,60.8156,-115.7999,41.04,62,62,12.44,broken clouds
198,San Quintin,MX,30.4833,-115.95,62.24,88,4,12.03,clear sky
199,East London,ZA,-33.0153,27.9116,76.14,33,65,8.16,broken clouds
200,Mountain Home,US,43.133,-115.6912,45.79,100,1,3.44,clear sky
201,Severo-Kurilsk,RU,50.6789,156.125,39.47,83,56,11.14,broken clouds
202,Kolokani,ML,13.5728,-8.0339,75.06,79,62,4.54,broken clouds
203,Lasa,IT,46.6166,10.7002,38.35,67,11,3.76,few clouds
204,Gamba,GA,-2.65,10.0,76.69,85,100,6.89,overcast clouds
205,Kieta,PG,-6.2167,155.6333,83.43,74,46,5.93,scattered clouds
206,Luderitz,NA,-26.6481,15.1594,58.12,71,25,7.52,scattered clouds
207,Rio Grande,BR,-32.035,-52.0986,56.95,88,24,8.86,light rain
208,Nikolskoye,RU,59.7035,30.7861,39.79,91,99,8.41,moderate rain
209,Rio Bananal,BR,-19.265,-40.3333,67.93,88,91,2.55,overcast clouds
210,Katsuura,JP,35.1333,140.3,67.1,43,0,16.64,clear sky
211,Murud,IN,18.3258,72.965,84.65,55,26,5.06,scattered clouds
212,Broome,US,42.2506,-75.833,40.84,80,1,0.0,clear sky
213,Vestmanna,FO,62.1564,-7.1664,47.32,100,90,18.41,overcast clouds
214,Grand Gaube,MU,-20.0064,57.6608,79.38,68,73,10.0,broken clouds
215,San Cristobal,VE,7.7669,-72.225,65.41,93,18,1.59,few clouds
216,Hede,CN,33.7681,120.2517,65.34,45,4,9.19,clear sky
217,Amapa,BR,1.0,-52.0,70.52,99,98,0.94,overcast clouds
218,Sola,VU,-13.8833,167.55,83.07,84,75,0.0,broken clouds
219,Jalu,LY,29.0331,21.5482,68.83,43,5,9.06,clear sky
220,Burgeo,CA,47.6167,-57.6152,55.63,99,94,8.52,overcast clouds
221,Zhenjiang,CN,32.2092,119.4342,65.75,41,8,6.51,clear sky
222,Alappuzha,IN,9.49,76.3264,82.99,75,93,4.5,light rain
223,Soma,TR,39.1855,27.6094,53.78,65,0,1.23,clear sky
224,Kuusamo,FI,65.9667,29.1833,21.24,86,40,9.22,scattered clouds
225,Smolenka,RU,52.1352,113.4974,46.47,39,0,0.0,clear sky
226,Torbay,CA,47.6666,-52.7314,54.75,96,90,12.66,light rain
227,Pacific Grove,US,36.6177,-121.9166,57.6,90,20,1.01,few clouds
228,The Valley,AI,18.217,-63.0578,82.26,70,4,21.27,clear sky
229,Coquimbo,CL,-29.9533,-71.3436,51.53,93,40,2.3,scattered clouds
230,Kaeo,NZ,-35.1,173.7833,61.32,98,100,18.81,light rain
231,Kungurtug,RU,50.5994,97.5228,42.96,32,71,1.66,broken clouds
232,Ossora,RU,59.2353,163.0719,22.59,77,42,2.15,scattered clouds
233,Atar,MR,20.5169,-13.0499,74.44,23,98,7.07,overcast clouds
234,Krasnaya Gorbatka,RU,55.8703,41.7641,43.7,74,100,12.1,light rain
235,Narsaq,GL,60.9167,-46.05,37.62,99,100,3.96,light rain
236,Bethel,US,41.3712,-73.414,57.04,72,90,5.75,overcast clouds
237,Saint Anthony,US,45.0205,-93.218,37.26,78,1,0.0,clear sky
238,Djambala,CG,-2.5447,14.7533,69.03,93,100,3.83,light rain
239,Bonfim,BR,3.0833,-59.95,76.15,79,54,7.54,broken clouds
240,Konza,KE,-1.7426,37.1294,70.34,54,60,6.4,broken clouds
241,Camopi,GF,3.1655,-52.3158,71.22,99,100,1.25,overcast clouds
242,Luganville,VU,-15.5333,167.1667,82.11,77,48,6.02,scattered clouds
243,Tezu,IN,27.9167,96.1667,84.06,54,0,3.69,clear sky
244,Maltahohe,NA,-24.8333,16.9833,54.95,24,0,11.68,clear sky
245,Iwanai,JP,42.9744,140.5089,48.0,65,59,10.42,broken clouds
246,Fuerte Olimpo,PY,-21.0415,-57.8738,81.54,50,26,7.56,scattered clouds
247,Bagdarin,RU,54.4333,113.6,43.66,44,16,1.7,few clouds
248,Verkhovyna,UA,48.1557,24.7911,42.78,83,67,3.69,broken clouds
249,Suraabad,AZ,40.8192,49.4687,68.18,58,0,1.7,clear sky
250,Videira,BR,-27.0083,-51.1517,53.29,94,3,2.89,clear sky
251,San Felipe,VE,10.3399,-68.7425,73.44,96,90,2.42,overcast clouds
252,Marand,IR,38.4329,45.7749,53.94,32,55,0.63,broken clouds
253,Bulgan,MN,48.8125,103.5347,45.99,30,2,2.71,clear sky
254,Bloomington,US,44.8408,-93.2983,37.65,80,20,4.0,few clouds
255,Kuching,MY,1.55,110.3333,84.42,74,40,9.22,scattered clouds
256,Kodinsk,RU,58.6881,99.1844,40.77,63,100,11.01,overcast clouds
257,Fairbanks,US,64.8378,-147.7164,31.6,86,1,0.0,clear sky
258,Chifeng,CN,42.2683,118.9636,55.81,20,0,3.53,clear sky
259,Acarau,BR,-2.8856,-40.12,78.24,86,91,8.41,overcast clouds
260,Saldanha,ZA,-33.0117,17.9442,60.57,67,64,16.4,light rain
261,Erzin,TR,36.9559,36.2,64.92,31,0,2.15,clear sky
262,Neubrandenburg,DE,53.5667,13.2667,45.9,85,16,15.68,few clouds
263,Fortuna,US,40.5982,-124.1573,55.74,71,90,4.0,overcast clouds
264,Aksu,CN,41.1231,80.2644,55.56,47,98,4.59,overcast clouds
265,Yumen,CN,40.2833,97.2,56.7,22,1,19.71,clear sky
266,Sulangan,PH,11.1373,123.7228,83.39,74,96,8.88,overcast clouds
267,Magpet,PH,7.1119,125.1133,81.64,82,100,2.75,light rain
268,Minyar,RU,55.0709,57.5485,47.48,92,100,14.0,overcast clouds
269,Lesnoy,RU,57.6198,63.0784,48.61,77,98,14.2,overcast clouds
270,Cabo San Lucas,MX,22.8909,-109.9124,78.51,79,1,4.0,clear sky
271,Talaya,RU,61.3833,152.75,4.95,84,99,2.68,overcast clouds
272,Tiquisate,GT,14.2833,-91.3667,78.62,95,60,3.78,broken clouds
273,Rawson,AR,-43.3002,-65.1023,58.14,33,67,27.2,broken clouds
274,Xai-Xai,MZ,-25.0519,33.6442,79.25,52,0,12.8,clear sky
275,Taveta,KE,-3.3963,37.6736,77.83,51,50,4.76,scattered clouds
276,Victoria,HK,22.2855,114.1577,76.24,76,54,5.61,broken clouds
277,Nemuro,JP,43.3236,145.575,48.34,74,96,14.85,overcast clouds
278,Aden,YE,12.7794,45.0367,84.49,66,31,11.18,scattered clouds
279,Sri Aman,MY,1.2376,111.4621,92.25,49,74,0.45,broken clouds
280,Barra Do Pirai,BR,-22.47,-43.8256,62.04,93,65,1.05,broken clouds
281,Teplodar,UA,46.5059,30.3252,55.04,49,100,7.0,light rain
282,Esperance,AU,-33.8667,121.9,64.31,49,8,15.86,clear sky
283,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,87,19,12.06,few clouds
284,Majene,ID,-3.5403,118.9707,86.11,65,41,6.8,scattered clouds
285,Bengkulu,ID,-3.8004,102.2655,83.08,73,96,6.76,overcast clouds
286,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.58,84,12,4.9,few clouds
287,Vavuniya,LK,8.7514,80.4971,89.64,54,36,4.5,scattered clouds
288,Mayumba,GA,-3.432,10.6554,77.76,84,100,4.61,light rain
289,Port Hedland,AU,-20.3167,118.5667,98.65,16,2,16.11,clear sky
290,Port Lincoln,AU,-34.7333,135.8667,59.47,56,6,17.6,clear sky
291,Kavieng,PG,-2.5744,150.7967,84.45,73,39,12.44,light rain
292,Port Shepstone,ZA,-30.7414,30.455,71.83,68,27,5.97,scattered clouds
293,Iranduba,BR,-3.2847,-60.1861,77.32,77,73,2.17,light rain
294,Meulaboh,ID,4.1363,96.1285,84.94,68,81,4.94,broken clouds
295,Komatipoort,ZA,-25.4332,31.9548,85.91,36,0,9.48,clear sky
296,Salalah,OM,17.0151,54.0924,82.49,61,0,4.61,clear sky
297,Casma,CL,-41.0082,-73.1244,45.68,84,73,1.86,broken clouds
298,Ugoofaaru,MV,5.6667,73.0,81.59,78,63,11.99,broken clouds
299,Bontang,ID,0.1333,117.5,87.46,63,100,2.89,overcast clouds
300,Saint Stephen,GB,50.3333,-4.9,52.83,71,90,9.22,overcast clouds
301,Pitkyaranta,RU,61.5734,31.4792,35.28,94,100,14.03,light snow
302,Verkhnyaya Inta,RU,65.9811,60.3094,33.28,98,100,15.55,snow
303,Norman Wells,CA,65.282,-126.8329,33.64,90,45,8.34,scattered clouds
304,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,56,75,17.27,broken clouds
305,Ayna,PE,-12.65,-73.9167,62.44,72,64,3.38,broken clouds
306,Salto,UY,-31.3833,-57.9667,66.87,70,47,7.0,moderate rain
307,Ginda,IN,30.6945,78.4932,66.69,53,6,6.02,clear sky
308,Quatre Cocos,MU,-20.2078,57.7625,79.09,73,69,14.81,broken clouds
309,Mauguio,FR,43.6181,4.0074,50.94,61,0,9.22,clear sky
310,Erenhot,CN,43.6475,111.9767,51.22,24,14,5.93,few clouds
311,Faanui,PF,-16.4833,-151.75,77.7,79,91,14.88,light rain
312,Alihe,CN,50.5667,123.7167,51.08,49,9,6.46,clear sky
313,Mkushi,ZM,-13.6202,29.3939,81.66,33,3,5.26,clear sky
314,Ponte De Sor,PT,39.2496,-8.0101,55.67,67,0,7.29,clear sky
315,Vostok,RU,46.4856,135.8833,41.97,65,17,7.85,few clouds
316,Olafsvik,IS,64.8945,-23.7142,45.77,90,100,6.49,overcast clouds
317,Port Augusta,AU,-32.5,137.7667,69.71,32,31,18.63,scattered clouds
318,Barcelos,PT,41.5388,-8.6151,57.34,74,21,4.5,few clouds
319,Acapulco,MX,16.8634,-99.8901,76.6,88,100,9.82,overcast clouds
320,Saint-Augustin,CA,51.226,-58.6502,42.37,69,100,17.27,overcast clouds
321,Malkara,TR,40.89,26.9011,63.19,86,33,7.07,scattered clouds
322,Makubetsu,JP,45.3714,141.8211,47.77,57,26,12.48,scattered clouds
323,Dunedin,NZ,-45.8742,170.5036,53.8,77,97,11.01,overcast clouds
324,Bilisht,AL,40.6275,20.99,39.96,81,97,2.89,overcast clouds
325,Zonguldak,TR,41.25,31.8333,45.45,48,0,3.36,clear sky
326,Winnemucca,US,40.973,-117.7357,44.65,65,75,8.05,broken clouds
327,Lerwick,GB,60.1545,-1.1494,48.2,70,95,15.7,overcast clouds
328,Malanje,AO,-9.5402,16.341,68.2,91,94,0.47,overcast clouds
329,Boden,SE,65.8252,21.6886,24.8,93,100,6.13,overcast clouds
330,Mongar,BT,27.2747,91.2396,69.37,48,19,6.13,few clouds
331,Udachnyy,RU,66.4167,112.4,23.59,96,99,6.64,snow
332,Powell River,CA,49.8496,-124.5361,53.01,89,100,11.41,overcast clouds
333,Mount Isa,AU,-20.7333,139.5,94.77,24,100,13.8,overcast clouds
334,Merritt Island,US,28.5392,-80.672,75.2,91,1,0.0,clear sky
335,New Ulm,US,44.3125,-94.4605,37.78,82,1,4.61,clear sky
336,Nantucket,US,41.2835,-70.0995,60.91,86,1,8.05,clear sky
337,Kloulklubed,PW,7.0419,134.2556,86.5,68,56,7.9,broken clouds
338,Nadym,RU,65.5333,72.5167,30.76,92,80,13.96,broken clouds
339,Bardsir,IR,29.9227,56.5743,56.28,26,0,2.86,clear sky
340,Villa Maria,AR,-32.4075,-63.2402,56.82,95,95,10.47,moderate rain
341,Damghan,IR,36.1683,54.348,57.13,26,0,2.82,clear sky
342,Arlit,NE,18.7369,7.3853,82.54,16,12,10.33,few clouds
343,Cidreira,BR,-30.1811,-50.2056,64.51,92,0,11.32,clear sky
344,Evanston,US,42.0411,-87.6901,48.2,72,90,1.01,overcast clouds
345,Hlotse,LS,-28.8718,28.045,62.11,30,0,1.45,clear sky
346,Kalabo,ZM,-14.97,22.6814,80.98,43,7,4.25,clear sky
